title;maintainer-name;maintainer-id;url;revisions;last_download;download;last_computation;compute_stats;last analysis;analysis;type;notes
45th_Infantry_Division_(United_States);Ed!;1957774;https://en.wikipedia.org/wiki/45th_Infantry_Division_(United_States);;2014-12-16;;;;;yes;maintained;
Alden_Partridge;BusterD;346148;https://en.wikipedia.org/wiki/Alden_Partridge;;2014-12-16;;;;;yes;maintained;
Battle_of_Chickamauga;Hlj;36708;https://en.wikipedia.org/wiki/Battle_of_Chickamauga;;2014-12-16;;;;;yes;maintained;
Mary_Martha_Sherwood;Wadewitz;86972;https://en.wikipedia.org/wiki/Mary_Martha_Sherwood;;2014-12-16;;;;;yes;maintained;
Welding;Spangineer;;https://en.wikipedia.org/wiki/Welding;;2014-12-16;;;;;;maintained;
William_McKendree;Pastorwayne;662741;https://en.wikipedia.org/wiki/William_McKendree;;2014-12-16;yes;;yes;;yes;maintained;
SMS_Von_der_Tann;Parsecboy;1879095;https://en.wikipedia.org/wiki/SMS_Von_der_Tann;;2014-12-16;;;;;yes;;
List_of_The_Penguins_of_Madagascar_episodes;AussieLegend;;https://en.wikipedia.org/wiki/List_of_The_Penguins_of_Madagascar_episodes;;2014-12-16;;;;;;;
Blue_iguana;Mike Searson;;https://en.wikipedia.org/wiki/Blue_iguana;;2014-12-16;;;;;;;
Beaumont-Hamel_Newfoundland_Memorial;Labattblueboy;;http://en.wikipedia.org/wiki/Beaumont-Hamel_Newfoundland_Memorial;;2015-01-08;;;;;yes;;
Blank_Page;Calvin999;;;;2015-01-08;;;;;yes;;
Jake_Gyllenhaal_filmography;Tomica;;;;2015-01-08;;;;;yes;;
List_of_colossal_squid_specimens_and_sightings;Mgiganteus1;;;;2015-01-08;;;;;yes;;
List_of_record_labels:_Iâ€“Q;ArcAngel,Apparition11,86.148.162.14;;;;2015-01-08;;;;;;;
List_of_vegetable_oils;Waitak;;;;2015-01-08;;;;;;;
Territorial_era_of_Minnesota;Mcorazao;;;;2015-01-08;;;;;;;
The_Whitlams;Jayec;;;;2015-01-08;;;;;;;
Write_Me_Back;Dan56;;;;2015-01-08;;;;;;;
You_Are_the_Apple_of_My_Eye;Lionratz;;;;2015-01-08;;;;;;;
Margaret_Kilgallen;Peter G Werner;;;;2014-12-16;;;;;yes;;
